"DATE","DESCRIPTION","AMOUNT","ID","MEMO"
"06/21/2022","McDonald's","-$13.97","JPdyN7kawnhAE5RO3XeJFbxAJnw6BLFQaNVxA",""
"06/15/2022","PAYMENT THANK YOU","$543.44","eEdyXr0VB8hEO5pyXAm9t4aeB1XPaKf43Ovo5",""
"06/10/2022","PETERS NISSAN OF NASHU NASHUA","-$204.55","rkmX65DAZQURvKkmr5emTd6Yq8AOXEHwZbLmQ",""
"06/10/2022","Shell","-$70.17","jD1A8RxeLgTd1gnjLwajiBe4Vvnb3MHjZ3nNq",""
"06/09/2022","AMC 0812 TYNGSBORO 12 TYNGSBORO","-$17.95","QAqBOyaEM6ikQ0VdjXzEuk6DgAqoZPULg3EKv",""
"06/06/2022","MOFONGO RESTAURANT Windsor","-$13.94","vjrORkBJ7Nsgw0dAp3neUvqVMYgaXLHYD7Zy9",""
"06/06/2022","POKE CITY HARTFORD","-$40.66","0vMQZ6zyxmcOyYad439AUObmpKjYLAIxX5p7M",""
"06/06/2022","Shell","-$49.99","jD1A8RxeLgTd1gnjLwavuvk1j8dEPBHQBYxzZ",""
"06/06/2022","TEDDY'S OLD LYME PIZZA OLD LYME","-$18.96","AOMKvnLwDgizM9OrdjwJU9yjEYbQ3oUZJBVpz",""
"06/06/2022","TOWN OF OLD LYME PARKI OLD LYME","-$47.86","k1PgrRJzD7HveoMn0arNubpaZ6vKQBHpdD5Pk",""
"06/02/2022","CITY OF NASHUA NH WEB 603-67371","-$20.00","rkmX65DAZQURvKkmr5e7Udx6ebojr3UaVAOnQ",""
"06/02/2022","Nashua 603-67371","-$3.00","jD1A8RxeLgTd1gnjLwaOFBKer0ZwAJt1eYqbq",""
"05/27/2022","Shell","-$20.33","V4kM0RmdbqcovgKAJbQoTpqbRd9E08CXqB3yO",""
"05/25/2022","SMKYBONES WNG-BGR X 75 TYNGSBORO","-$185.05","vjrORkBJ7Nsgw0dAp3jpS57Oprab77S08jXmz",""
"05/24/2022","110 GRILL NASHUA NASHUA","-$110.40","qmkoaOLKZRfymZkV1zBehakbZkdQvLFBJmN57",""
"05/16/2022","PAYMENT THANK YOU","$340.55","0vMQZ6zyxmcOyYad43eVTyB8xM4eQwHVN1ymJ",""
"05/16/2022","Shell","-$56.36","qmkoaOLKZRfymZkV1zBMtQDBgqQarxCx7rgwd",""
"05/09/2022","HASNA S AFGHAN FUSION WATERBURY","-$20.19","a9ZDPrK8y4ugRY3PMzyxhpKJBR7n08H9MP3g8",""
"05/09/2022","SUN HING CHINESE WOLCOTT","-$31.15","x4amR5yoVdcPZk6Y1K4OuDwYqLMn6QHJ8Lp4Z",""
"05/06/2022","SUN HING CHINESE WOLCOTT","-$21.85","V4kM0RmdbqcovgKAJbQMTpk0PRy0q3CjAJnJB",""
"05/05/2022","FOUNDATION MEDICAL 008 NASHUA","-$35.00","4mMN0PO4zvfXnLVa8MBzu6d1qXyrYmFJ8jwLp",""
"05/05/2022","GULF OIL 92037596 NASHUA","-$70.22","rkmX65DAZQURvKkmr57DCmRDk8N195saeOP9X",""
"05/02/2022","Shell","-$13.22","nB3Xa5d1ZOhZJRjArxmbiVepRKrwLbU06vOgj",""
"04/25/2022","MICROSOFT*XBOX MSBILL.IN","-$79.99","NyD7q4jg1ec9xvE1Ao6QTOqDZaRNY0Uxn7N9p",""
"04/25/2022","PepsiCo","-$1.85","XxvrR76Db3ugq5dDZmx8S19XonQvxDc0QLv50",""
"04/25/2022","Shell","-$10.30","pyKmPo63OEcogmnDA9OEi7Mbm1k5YzhZrxPg4",""
"04/21/2022","PepsiCo","-$1.85","eEdyXr0VB8hEO5pyXA4DiADrz9XjKxTkogyze",""
"04/18/2022","CASA VIEJA 603-94372","-$10.72","zxJR7yk9Z6udoLDYbJeBhZ8ALebgzPIdYDp8R",""
"04/18/2022","CASA VIEJA 603-94372","-$20.99","YJ0M34LPbyueoLwM5jBvh81pRbQOnqtwjXA59",""
"04/18/2022","PETERS NISSAN OF NASHU NASHUA","-$179.55","dMbyBXv7qJH01dm3okXaiE4jOqd9BDIyp6zv4",""
"04/18/2022","TST* MARTHA S EXCHANGE NASHUA","-$35.30","mqBjPRZLXVcjQgNwyLX0FqpAg5y76aI3Yno6e",""